,cost_function,value,name,level
37,electricity_consumption_total,1.1069176668425529,Building_2,building
38,zero_net_energy,1.0232094311269124,Building_2,building
39,carbon_emissions_total,1.1091129803268935,Building_2,building
40,cost_total,1.1088833018870539,Building_2,building
41,discomfort_proportion,0.0707070707070707,Building_2,building
42,discomfort_cold_proportion,0.006313131313131313,Building_2,building
43,discomfort_hot_proportion,0.06439393939393939,Building_2,building
44,discomfort_cold_delta_minimum,0.0,Building_2,building
45,discomfort_cold_delta_maximum,3.0206069946289062,Building_2,building
46,discomfort_cold_delta_average,0.12192600879116335,Building_2,building
47,discomfort_hot_delta_minimum,0.0,Building_2,building
48,discomfort_hot_delta_maximum,6.964687347412109,Building_2,building
49,discomfort_hot_delta_average,0.5355502876682557,Building_2,building
50,one_minus_thermal_resilience_proportion,1.0,Building_2,building
51,power_outage_normalized_unserved_energy_total,0.7334835876408912,Building_2,building
52,annual_normalized_unserved_energy_total,0.02021678638166446,Building_2,building
53,electricity_consumption_total,0.9184243447906706,Building_3,building
54,zero_net_energy,0.9177642914737852,Building_3,building
55,carbon_emissions_total,0.9206709338643225,Building_3,building
56,cost_total,0.8944793585437384,Building_3,building
57,discomfort_proportion,0.022988505747126436,Building_3,building
58,discomfort_cold_proportion,0.0060207991242474,Building_3,building
59,discomfort_hot_proportion,0.016967706622879036,Building_3,building
60,discomfort_cold_delta_minimum,0.0,Building_3,building
61,discomfort_cold_delta_maximum,2.8548011779785156,Building_3,building
62,discomfort_cold_delta_average,0.11064992002818895,Building_3,building
63,discomfort_hot_delta_minimum,0.0,Building_3,building
64,discomfort_hot_delta_maximum,4.518167495727539,Building_3,building
65,discomfort_hot_delta_average,0.3759728324586067,Building_3,building
66,one_minus_thermal_resilience_proportion,0.6875,Building_3,building
67,power_outage_normalized_unserved_energy_total,0.6886264981631914,Building_3,building
68,annual_normalized_unserved_energy_total,0.018205268590821867,Building_3,building
69,electricity_consumption_total,0.8232541292773441,Building_4,building
70,zero_net_energy,0.794338345188669,Building_4,building
71,carbon_emissions_total,0.8233139310454138,Building_4,building
72,cost_total,0.7922898505202868,Building_4,building
73,discomfort_proportion,0.200281425891182,Building_4,building
74,discomfort_cold_proportion,0.019230769230769232,Building_4,building
75,discomfort_hot_proportion,0.18105065666041276,Building_4,building
76,discomfort_cold_delta_minimum,0.0,Building_4,building
77,discomfort_cold_delta_maximum,4.116111755371094,Building_4,building
78,discomfort_cold_delta_average,0.27893254204072815,Building_4,building
79,discomfort_hot_delta_minimum,0.0,Building_4,building
80,discomfort_hot_delta_maximum,9.187511444091797,Building_4,building
81,discomfort_hot_delta_average,0.9193113057509713,Building_4,building
82,one_minus_thermal_resilience_proportion,0.6976744186046512,Building_4,building
83,power_outage_normalized_unserved_energy_total,0.568589759172935,Building_4,building
84,annual_normalized_unserved_energy_total,0.012342639769525881,Building_4,building
85,electricity_consumption_total,1.0415247222365192,Building_5,building
86,zero_net_energy,1.0538560196963642,Building_5,building
87,carbon_emissions_total,1.047464510754801,Building_5,building
88,cost_total,1.0169911317589009,Building_5,building
89,discomfort_proportion,0.34652345958168457,Building_5,building
90,discomfort_cold_proportion,0.08592425098925947,Building_5,building
91,discomfort_hot_proportion,0.2605992085924251,Building_5,building
92,discomfort_cold_delta_minimum,0.0,Building_5,building
93,discomfort_cold_delta_maximum,6.337375640869141,Building_5,building
94,discomfort_cold_delta_average,0.4041184005529984,Building_5,building
95,discomfort_hot_delta_minimum,0.0,Building_5,building
