,cost_function,value,name,level
50,one_minus_thermal_resilience_proportion,1.0,Building_2,building
51,power_outage_normalized_unserved_energy_total,0.7319031030116778,Building_2,building
52,annual_normalized_unserved_energy_total,0.019687731851583037,Building_2,building
53,electricity_consumption_total,0.9936194527516427,Building_3,building
54,zero_net_energy,0.9825937928243188,Building_3,building
55,carbon_emissions_total,0.9963470177010938,Building_3,building
56,cost_total,0.9786793488818339,Building_3,building
57,discomfort_proportion,0.013136288998357963,Building_3,building
58,discomfort_cold_proportion,0.0,Building_3,building
59,discomfort_hot_proportion,0.013136288998357963,Building_3,building
60,discomfort_cold_delta_minimum,0.0,Building_3,building
61,discomfort_cold_delta_maximum,1.638967514038086,Building_3,building
62,discomfort_cold_delta_average,0.2192755825277688,Building_3,building
63,discomfort_hot_delta_minimum,0.0,Building_3,building
64,discomfort_hot_delta_maximum,3.872171401977539,Building_3,building
65,discomfort_hot_delta_average,0.2027476352194081,Building_3,building
66,one_minus_thermal_resilience_proportion,0.625,Building_3,building
67,power_outage_normalized_unserved_energy_total,0.6316935856670504,Building_3,building
68,annual_normalized_unserved_energy_total,0.01597948376255409,Building_3,building
69,electricity_consumption_total,0.8040593508011818,Building_4,building
70,zero_net_energy,0.7770912864057805,Building_4,building
71,carbon_emissions_total,0.8029831706402669,Building_4,building
72,cost_total,0.7963286117950504,Building_4,building
73,discomfort_proportion,0.32926829268292684,Building_4,building
74,discomfort_cold_proportion,0.016885553470919325,Building_4,building
75,discomfort_hot_proportion,0.3123827392120075,Building_4,building
76,discomfort_cold_delta_minimum,0.0,Building_4,building
77,discomfort_cold_delta_maximum,3.7517433166503906,Building_4,building
78,discomfort_cold_delta_average,0.22010488441025,Building_4,building
79,discomfort_hot_delta_minimum,0.0,Building_4,building
80,discomfort_hot_delta_maximum,8.308273315429688,Building_4,building
81,discomfort_hot_delta_average,1.4080438700275144,Building_4,building
82,one_minus_thermal_resilience_proportion,0.6046511627906976,Building_4,building
83,power_outage_normalized_unserved_energy_total,0.6237813888085861,Building_4,building
84,annual_normalized_unserved_energy_total,0.019663366962772034,Building_4,building
85,electricity_consumption_total,0.914505313586023,Building_5,building
86,zero_net_energy,0.9250568081635309,Building_5,building
87,carbon_emissions_total,0.9221992418262241,Building_5,building
88,cost_total,0.9194502494192894,Building_5,building
89,discomfort_proportion,0.609383832673827,Building_5,building
90,discomfort_cold_proportion,0.0033917467495760316,Building_5,building
91,discomfort_hot_proportion,0.605992085924251,Building_5,building
92,discomfort_cold_delta_minimum,0.0,Building_5,building
93,discomfort_cold_delta_maximum,2.4189090728759766,Building_5,building
94,discomfort_cold_delta_average,0.055933022844618645,Building_5,building
95,discomfort_hot_delta_minimum,0.0,Building_5,building
